Id,EntityWavId,Name,Zipcode
e5e77910-53aa-41a9-8fb2-2cfa80897d29,PRAC0000000000000986,test sample,67899
5f173aaa-338d-4510-9d2d-c856d8771aa8,PRAC0000000000000987,Bowdoin Street Health Center BIDMC ,02122
ceece087-093e-421d-92c0-b1aff03405e6,PRAC0000000000000988,St. Elizabeth Medical Center Orthopedics,02135
25bc676e-30f6-4fd4-b7a4-f441fcee2604,PRAC0000000000000989,Mass Medical Group,01852
db54156f-fe30-4b66-9377-5642c5df82de,PRAC0000000000000990,Modern Care Medical Group,01851
7db68a4e-453b-4e99-b6ac-33f5167c7f59,PRAC0000000000000991,Tufts Medical Center Community Care Malden,02148
74103624-ac19-45d6-9808-cb12708765a8,PRAC0000000000000992,Ram Clinic PC,02062
51794993-0165-4a22-896c-665715d78864,PRAC0000000000000993,Dutton Family Care Associates Llp,01880
8d01ddb2-a648-4813-89ba-9a0f71a395fe,PRAC0000000000000994,Pratt Medical Group Inc,02111
83de8c79-1a28-4d0b-90bc-5deaf95949e5,PRAC0000000000000995,"AppleMD Medical Services, PLLC",77459
5bce99a2-a71f-48e4-9c06-c16d9ab78ad5,PRAC0000000000000996, Centric Physicians Group,78006
84e35202-3422-4de4-b5cb-efe5461b1312,PRAC0000000000000997,Paragon Medical Associates,89014
4e594a84-7340-469e-82fb-b41b91930db5,PRAC0000000000000998,Rocky Mountain Medical and Healthcare,80224
1726e467-f4b0-4c11-b2b7-a39eb1328d91,PRAC0000000000000999,Anand Balasubramanian MD PA,77090
ee74f247-b46e-480c-a4e4-9ae6b8a5dc35,PRAC0000000000001000,Responsive Infectious Diseases Solutions,78258
6886cd43-88e9-4370-9cc5-18198b4bc167,PRAC0000000000001001,test0001,00009
af198195-1087-46b7-81dd-65c72f60d407,PRAC0000000000001002,test,11111
da21fedf-640b-4d5c-8ed7-df82fd109a87,PRAC0000000000001003,Colorado Plains Medical Center Home Care,80701
f3a3aaf4-72b9-4529-9ed6-3deeeb9216ff,PRAC0000000000001004,"Family Home Health Care, Inc",80231
b62429db-642c-4fdb-9bf3-29e381d20e22,PRAC0000000000001005,Brownfield,79316
e749dda4-60ab-48d3-afc6-728a15d74182,PRAC0000000000001006,Doctor At Your Service ,78229
bb158a70-b51a-4008-9600-e94484485b61,PRAC0000000000001007,Atrium Housecall,75243
6c2414e8-b2d3-4d94-953e-967a64c31488,PRAC0000000000001008,san antonio family physician,78251
a1bb499e-ba2b-481a-8fba-d0bd90e57aa0,PRAC0000000000001009,Northeast Prohealth ,78109
b50483ad-042c-4d64-96d7-4427c7862f9e,PRAC0000000000001010,UT Health San Antonio,78229
3e387a9f-5535-4984-9419-483bed5e63f1,PRAC0000000000001011,BSZ Medical PA,78064
ea4c3d61-28fa-473f-8bdd-685075343711,PRAC0000000000001012,Goldstein Alastdair MD,78240
eaba3c1c-217f-458d-aa2f-172e3ffbab1e,PRAC0000000000001013,"Royal V.P., LLC(Royal Visiting Physicians)",75080
9c9bd7d0-bd70-4197-98f7-a77b4e781ab1,PRAC0000000000001014,Morning Star Healthcare Services PA,75244
de385408-1cd6-46a2-be58-ff4b8eeeddc7,PRAC0000000000001015,Doctors at home,76017
29e46ad6-8ca8-400b-b049-48c17c0b831d,PRAC0000000000001016,MD Primary Care,34950
2f607136-c370-422c-890d-f01bdaba6bae,PRAC0000000000001017,Grace at Home,46240
9d8d2765-0b51-489b-868c-a217b4283c62,PRAC0000000000001018,Los Cerros Medical LLC,79902
f6464e98-d46b-4c7a-a9bc-254c02aa8e1c,PRAC0000000000001019,Visiting Practitioners And Palliative Care LLC,78247
398b825d-5e6d-4a86-88df-79992a36f536,PRAC0000000000001020,CLINICS OF NORTH TEXAS LLP,76302
03657233-8677-4c81-92c8-c19c3f64fc84,PRAC0000000000001021,CARING HEALTH CENTER INC,01103-2114
a3b8a6c5-db61-42b4-8eee-64e1098c0336,PRAC0000000000001022,Texas Infectious Disease Institute,75082
8b15ea65-269e-412f-88ce-785959be023f,PRAC0000000000001023,Boyer Family Practice,76302
1a959ae5-7ba2-47e5-b044-64690eeced93,PRAC0000000000001024,Well Life Family Medicine,79106
534ca7a5-2db0-4c75-8988-89f73064c5e5,PRAC0000000000001025,"Citywide Housecalls, LLC",75228
8cd766e5-6e19-492e-a1a9-6595d81d20ee,PRAC0000000000001026,Travelling at Doctors LLC,75243
e7ca529f-bc5e-4706-b61f-0f682a3f6e23,PRAC0000000000001027,Northeast Medical Group,01854
bc3a6a28-dd03-4cf3-95ba-2c5976619818,PRAC0000000000001028,Housecall MD,90035
6d512187-5ffd-44f9-8d0d-a1a3362132d0,PRAC0000000000001029,Massachusetts Mental Health Center- MMHC,02115
d64224a9-fa5b-48f6-b48b-54d7432ec838,PRAC0000000000001030,Steward Primary Care in Lakeville,02347
ca5314fe-cf71-42e5-9482-81507666328c,PRAC0000000000001031,Riverside Medical Group,01854
ef8847e7-ed2a-4dc0-a08b-49b1d6b2b5f7,PRAC0000000000001032,Prime MD Geriatrics,75019
9da4c2a5-082f-4571-96bc-febb5ee25ca7,PRAC0000000000001033,SMG Norwood Primary Care,02062
b92e8240-61f7-475f-8cbe-f1442b6389b5,PRAC0000000000001034,"Lowell Community Health Center, Inc",01852
c147e1f1-ccdb-4e22-8526-60a93ad4a678,PRAC0000000000001035,Americare,76011
7149dded-e884-411f-86d3-cd4590301241,PRAC0000000000001036,SMG Quincy Geriatrics,02169
20b2124e-b3c4-4545-8211-8b189ff49e7b,PRAC0000000000001037,SMG Townsend Family Practice,01469
6f4180aa-b472-4d5c-b7aa-98e06bb4fd6f,PRAC0000000000001038,Spectrum Health Solutions (Community First Primary Care),75006
4f6c622d-4c7c-4967-8498-a640d70b929c,PRAC0000000000001039,SMG Watertown Primary Care & Ob/Gyn,02472
d80b9f6a-d8e8-42bc-8db7-043675a5b86b,PRAC0000000000001040,Brockton Neighborhood Health Center,02301-4042
3120106b-18bc-4ae8-8ba8-d16b44bdf4fc,PRAC0000000000001041,Beorne Healthcare Group,78006
f0d98fdc-c432-4e05-b75e-af146aa0e27d,PRAC0000000000001042,Health Quality Primary Care,01843
0c2c11e0-ce99-4282-9172-7d06c7a12dda,PRAC0000000000001043,Beth Israel Deaconess Medical Center (BIDMC),02215
5bbfbe8d-d1bb-4eda-8367-d0fa19ae09ab,PRAC0000000000001044,Infracare,60646
